iter	Passed	Remaining
868	7352	77245
869	7363	77262
870	7374	77282
871	7382	77271
872	7394	77295
873	7404	77303
874	7415	77321
875	7426	77338
876	7441	77396
877	7450	77400
878	7467	77482
879	7475	77465
880	7486	77484
881	7495	77480
882	7505	77482
883	7513	77470
884	7521	77459
885	7530	77453
886	7539	77447
887	7549	77462
888	7558	77453
889	7566	77441
890	7573	77413
891	7581	77401
892	7594	77441
893	7602	77432
894	7610	77410
895	7619	77407
896	7627	77392
897	7637	77402
898	7644	77384
899	7653	77380
900	7661	77361
901	7669	77346
902	7678	77349
903	7687	77343
904	7699	77373
905	7708	77362
906	7715	77342
907	7724	77341
908	7735	77353
909	7748	77386
910	7756	77375
911	7764	77360
912	7772	77348
913	7779	77322
914	7787	77311
915	7795	77297
916	7803	77287
917	7812	77283
918	7820	77266
919	7829	77266
920	7838	77258
921	7846	77251
922	7855	77245
923	7863	77232
924	7871	77220
925	7880	77213
926	7889	77206
927	7899	77212
928	7911	77238
929	7920	77235
930	7926	77203
931	7935	77198
932	7942	77178
933	7949	77155
934	7956	77130
935	7964	77119
936	7971	77095
937	7981	77103
938	7989	77086
939	7998	77086
940	8007	77076
941	8016	77072
942	8023	77054
943	8032	77045
944	8040	77031
945	8048	77024
946	8056	77010
947	8064	76995
948	8072	76980
949	8081	76979
950	8090	76973
951	8097	76950
952	8105	76935
953	8114	76931
954	8122	76920
955	8129	76901
956	8137	76887
957	8146	76878
958	8155	76874
959	8160	76838
960	8169	76831
961	8178	76828
962	8186	76815
963	8193	76794
964	8201	76779
965	8210	76774
966	8218	76766
967	8227	76755
968	8235	76745
969	8243	76735
970	8252	76728
971	8259	76706
972	8271	76728
973	8279	76716
974	8288	76711
975	8296	76700
976	8303	76681
977	8313	76682
978	8321	76669
979	8331	76678
980	8339	76664
981	8348	76660
982	8356	76646
983	8365	76642
984	8373	76632
985	8383	76634
986	8391	76619
987	8400	76619
988	8409	76614
989	8420	76628
990	8428	76616
991	8437	76605
992	8447	76613
993	8456	76607
994	8464	76593
995	8472	76588
996	8481	76578
997	8489	76563
998	8497	76551
999	8505	76540
1000	8517	76566
1001	8525	76547
1002	8532	76526
1003	8540	76512
1004	8547	76495
1005	8559	76515
1006	8567	76502
1007	8581	76540
1008	8588	76521
1009	8597	76521
1010	8605	76502
1011	8615	76507
1012	8624	76507
1013	8634	76507
1014	8641	76490
1015	8658	76555
1016	8666	76544
1017	8675	76539
1018	8681	76510
1019	8690	76505
1020	8699	76496
1021	8706	76479
1022	8715	76468
1023	8722	76453
1024	8730	76439
1025	8737	76412
1026	8746	76413
1027	8755	76405
1028	8764	76400
1029	8772	76390
1030	8782	76396
1031	8791	76390
1032	8800	76388
1033	8809	76376
1034	8816	76359
1035	8824	76347
1036	8832	76333
1037	8846	76374
1038	8852	76344
1039	8861	76334
1040	8870	76332
1041	8877	76306
1042	8884	76288
1043	8892	76273
1044	8900	76266
1045	8909	76260
1046	8916	76236
1047	8923	76217
1048	8933	76216
1049	8940	76198
1050	8949	76190
1051	8957	76177
1052	8971	76219
1053	8979	76209
1054	8986	76189
1055	8996	76185
1056	9006	76191
1057	9015	76185
1058	9027	76212
1059	9035	76193
